ID,Canal,timestamp,Impressoes Disponiveis,Consultas Correspondentes,Impressoes,Cliques,Gasto,Conversao
ADSXJ0000001,Canal1,2023-11-02 03:00:00,82132,61776,43673,5,37.7561905536914,2
ADSXJ0000002,Canal1,2023-11-02 03:00:00,41889,33512,23919,4,18.76253113370292,2
ADSXJ0000003,Canal2,2023-12-18 04:00:00,2438114,1611096,1215019,1314,2481.566952159916,44
ADSXJ0000004,Canal2,2023-12-19 04:00:00,2429576,1608711,1212549,1343,2513.020286457333,36
ADSXJ0000005,Canal2,2023-12-18 03:00:00,2863336,1929554,1456197,1566,2912.618754210687,30
ADSXJ0000006,Canal2,2023-12-20 03:00:00,2808777,1905666,1439116,1635,3026.85745339684,28
ADSXJ0000007,Canal3,2023-10-19 06:00:00,1527,235,189,1,2.015777307264854,0
ADSXJ0000008,Canal2,2023-12-19 05:00:00,2827691,1799926,1361364,1700,3131.25619642433,52
ADSXJ0000009,Canal2,2023-12-11 05:00:00,2620297,1705295,1285737,1543,2824.584122693967,45
ADSXJ0000010,Canal2,2023-11-30 05:00:00,2514038,1659767,1233530,1503,2742.316660730609,21
ADSXJ0000011,Canal2,2023-12-20 05:00:00,2625541,1770444,1336651,1752,3147.771808800883,50
ADSXJ0000012,Canal2,2023-11-18 05:00:00,2337534,1503003,1138898,1473,2630.898282283047,16
ADSXJ0000013,Canal2,2023-12-20 04:00:00,2292374,1505690,1133081,1380,2458.186548121477,25
ADSXJ0000014,Canal2,2023-11-21 04:00:00,2143401,1378230,1042775,1177,2087.798641027355,20
ADSXJ0000015,Canal2,2023-11-22 05:00:00,2435298,1606296,1223542,1591,2803.167566203398,32
ADSXJ0000016,Canal2,2023-12-19 03:00:00,2790256,1871360,1417955,1552,2730.762369445788,28
ADSXJ0000017,Canal3,2023-10-17 14:00:00,1333,320,256,1,1.923007278305797,0
ADSXJ0000018,Canal2,2023-11-18 04:00:00,2361835,1487338,1127838,1331,2330.083975840052,25
ADSXJ0000019,Canal2,2023-11-29 05:00:00,2508621,1657606,1245306,1503,2627.535987288572,43
ADSXJ0000020,Canal2,2023-12-20 02:00:00,3797234,2593592,1970125,2374,4149.287140921698,34
ADSXJ0000021,Canal2,2023-12-08 05:00:00,2597125,1714045,1280778,1617,2823.517082177385,22
ADSXJ0000022,Canal2,2023-11-21 05:00:00,2352160,1572894,1200416,1496,2601.927314626126,16
ADSXJ0000023,Canal2,2023-11-17 05:00:00,2345889,1565034,1187971,1551,2691.965907805663,28
ADSXJ0000024,Canal2,2023-11-25 05:00:00,2437154,1597788,1201797,1563,2689.494220716716,30
ADSXJ0000025,Canal2,2023-12-18 05:00:00,2677752,1798359,1358849,1660,2855.467213550706,32
ADSXJ0000026,Canal2,2023-11-24 05:00:00,2633962,1718443,1303025,1665,2856.72145069886,55
ADSXJ0000027,Canal2,2023-11-27 05:00:00,2356419,1613494,1207033,1503,2575.762011377466,44
ADSXJ0000028,Canal2,2023-12-11 06:00:00,4499830,3057856,2331856,3512,6016.947432065947,62
ADSXJ0000029,Canal2,2023-11-20 05:00:00,2087690,1483420,1116606,1371,2347.974466470831,46
ADSXJ0000030,Canal2,2023-11-24 03:00:00,2779614,1866129,1412297,1570,2686.191696792942,42
ADSXJ0000031,Canal2,2023-11-23 04:00:00,2246178,1440024,1090238,1269,2169.68879554622,21
ADSXJ0000032,Canal2,2023-11-18 03:00:00,2905837,1961751,1494350,1747,2985.637717282536,54
ADSXJ0000033,Canal2,2023-11-22 04:00:00,2225859,1418359,1076450,1257,2146.758469174933,15
ADSXJ0000034,Canal2,2023-11-15 04:00:00,2245294,1386043,1057571,1146,1956.915829174062,29
ADSXJ0000035,Canal2,2023-11-17 04:00:00,2161001,1403315,1070566,1358,2318.113933760425,37
ADSXJ0000036,Canal2,2023-11-23 03:00:00,2660170,1817255,1378308,1507,2566.542246934848,25
ADSXJ0000037,Canal2,2023-12-10 05:00:00,2702515,1709239,1267943,1528,2594.169949488517,28
ADSXJ0000038,Canal2,2023-11-28 03:00:00,3030098,1802547,1351809,1602,2718.389029573346,25
ADSXJ0000039,Canal2,2023-11-28 05:00:00,2754473,1631911,1224251,1660,2806.372383307474,31
ADSXJ0000040,Canal2,2023-11-23 05:00:00,2479689,1632473,1242332,1573,2657.096997894993,53
ADSXJ0000041,Canal2,2023-11-24 04:00:00,2356918,1502187,1132012,1243,2095.336710255566,39
ADSXJ0000042,Canal2,2023-11-30 04:00:00,2230348,1420522,1052853,1285,2162.47258376173,22
ADSXJ0000043,Canal2,2023-11-16 04:00:00,2125403,1378133,1047809,1204,2026.191188058984,38
ADSXJ0000044,Canal2,2023-11-15 05:00:00,2457981,1546612,1184526,1485,2498.720036067064,16
ADSXJ0000045,Canal2,2023-11-19 05:00:00,2161945,1405350,1061948,1351,2270.891999274578,20
ADSXJ0000046,Canal2,2023-11-30 02:00:00,3624852,2553504,1933032,2450,4118.540883690777,28
ADSXJ0000047,Canal2,2023-12-03 05:00:00,2056595,1426063,1093895,1350,2255.767073623212,42
ADSXJ0000048,Canal2,2023-11-09 05:00:00,2630983,1641178,1254220,1460,2439.521086828004,16
ADSXJ0000049,Canal2,2023-11-30 03:00:00,2605749,1725861,1284431,1671,2788.652799111631,29
ADSXJ0000050,Canal2,2023-11-18 06:00:00,3360707,2336786,1788976,2673,4454.502225483318,46
ADSXJ0000051,Canal2,2023-12-12 05:00:00,2622672,1776393,1323703,1670,2770.244466844075,26
ADSXJ0000052,Canal2,2023-11-30 05:00:00,2472453,1650797,1242755,1735,2877.933099466466,56
ADSXJ0000053,Canal2,2023-11-26 05:00:00,2497070,1538001,1158323,1556,2580.461544715706,50
ADSXJ0000054,Canal2,2023-11-10 05:00:00,2571012,1629061,1243308,1587,2624.760791659321,25
ADSXJ0000055,Canal2,2023-12-11 04:00:00,2354496,1500233,1126149,1400,2312.599440178183,35
ADSXJ0000056,Canal2,2023-11-22 03:00:00,2643395,1779530,1352719,1480,2442.319015929977,22
ADSXJ0000057,Canal2,2023-12-21 03:00:00,2737238,1899894,1436696,1826,3007.507049850214,28
ADSXJ0000058,Canal2,2023-12-19 02:00:00,3826146,2628916,2003540,2497,4112.585866004449,37
ADSXJ0000059,Canal2,2023-11-15 03:00:00,2690829,1746665,1330488,1564,2573.527669903241,21
ADSXJ0000060,Canal2,2023-11-30 06:00:00,4203293,2904498,2207241,3494,5747.981178532075,111
